iter	Passed	Remaining
0	155	155806
1	157	78413
2	158	52712
3	159	39806
4	161	32108
5	162	26901
6	163	23163
7	164	20373
8	167	18404
9	168	16725
10	170	15315
11	171	14131
12	172	13116
13	173	12240
14	174	11488
15	176	10833
16	177	10252
17	178	9738
18	181	9376
19	184	9018
20	185	8642
21	186	8291
22	187	7960
23	188	7663
24	189	7392
25	190	7142
26	191	6905
27	192	6685
28	193	6483
29	197	6371
30	198	6217
31	200	6050
32	201	5895
33	202	5752
34	203	5613
35	204	5487
36	206	5365
37	207	5252
38	211	5200
39	212	5101
40	213	5003
41	214	4903
42	216	4807
43	216	4714
44	218	4626
45	219	4544
46	220	4467
47	221	4389
48	224	4354
49	226	4301
50	228	4242
51	229	4179
52	230	4112
53	231	4048
54	232	3986
55	233	3928
56	234	3872
57	235	3819
58	236	3767
59	240	3769
60	242	3730
61	243	3682
62	244	3636
63	245	3592
64	246	3551
65	248	3511
66	249	3469
67	250	3430
68	251	3390
69	254	3377
70	256	3351
71	257	3318
72	259	3290
73	260	3254
74	260	3218
75	261	3184
76	263	3156
77	264	3126
78	265	3095
79	266	3064
80	267	3034
81	270	3031
82	271	3001
83	273	2980
84	274	2955
85	275	2930
86	276	2904
87	277	2878
88	278	2854
89	279	2829
90	281	2807
91	282	2784
92	285	2784
93	287	2769
94	288	2747
95	289	2726
96	290	2706
97	292	2689
98	293	2668
99	294	2647
100	295	2628
101	296	2609
102	297	2592
103	299	2582
104	301	2566
105	302	2550
106	303	2531
107	304	2513
108	305	2495
109	306	2478
110	307	2463
111	309	2452
112	310	2435
113	313	2433
114	315	2425
115	316	2415
116	318	2401
117	319	2387
118	320	2374
119	322	2362
120	323	2350
121	324	2335
122	325	2321
123	328	2320
124	330	2316
125	332	2305
126	333	2292
127	335	2282
128	336	2270
129	337	2257
130	338	2244
131	339	2231
132	340	2219
133	341	2208
134	344	2204
135	345	2194
136	347	2188
137	348	2176
138	349	2163
139	350	2154
140	351	2143
141	352	2130
142	353	2119
143	354	2109
144	357	2110
145	359	2104
146	361	2096
147	362	2088
148	363	2076
149	364	2066
150	365	2056
151	366	2045
152	367	2035
153	368	2025
154	369	2015
155	370	2005
156	373	2006
157	375	2002
158	377	1994
159	378	1986
160	379	1975
161	380	1968
162	381	1959
163	382	1950
164	383	1940
165	384	1931
166	385	1922
167	389	1926
168	391	1924
169	393	1919
170	394	1911
171	395	1902
172	396	1894
173	397	1887
174	398	1879
175	399	1871
176	400	1863
177	404	1866
178	405	1861
179	407	1855
180	408	1847
181	409	1839
182	410	1831
183	411	1823
184	412	1815
185	413	1807
186	414	1800
187	415	1793
188	419	1801
189	421	1796
190	422	1790
191	423	1784
192	425	1778
193	426	1772
194	427	1765
195	428	1758
196	429	1751
197	430	1744
198	434	1748
199	435	1743
200	437	1737
201	438	1730
202	439	1723
203	440	1717
204	441	1711
205	442	1705
206	443	1699
207	444	1693
208	445	1686
209	448	1688
210	451	1689
211	453	1685
212	454	1679
213	455	1672
214	456	1666
215	457	1660
216	458	1655
217	459	1648
218	460	1642
219	463	1643
220	466	1642
221	467	1638
222	468	1633
223	469	1627
224	471	1622
225	472	1619
226	474	1615
227	475	1611
228	481	1620
229	482	1616
230	484	1612
231	486	1609
232	488	1606
233	489	1603
234	494	1608
235	496	1606
236	497	1603
237	499	1598
238	500	1593
239	501	1588
240	503	1585
241	504	1580
242	506	1576
243	507	1573
244	510	1572
245	512	1570
246	513	1565
247	514	1561
248	516	1556
249	517	1551
250	518	1547
251	519	1543
252	521	1538
253	522	1534
254	524	1531
255	527	1532
256	529	1529
257	530	1525
258	531	1521
259	532	1516
260	534	1514
261	535	1509
262	536	1504
263	539	1504
264	541	1502
265	543	1499
266	544	1495
267	545	1490
268	547	1487
269	548	1483
270	550	1481
271	551	1476
272	554	1477
273	557	1475
274	559	1473
275	560	1469
276	561	1464
277	562	1460
278	563	1455
279	565	1453
280	566	1449
281	567	1444
282	570	1445
283	572	1443
284	575	1445
285	577	1440
286	577	1435
287	579	1431
288	579	1426
289	580	1422
290	581	1417
291	583	1413
292	586	1414
293	588	1413
294	589	1409
295	591	1406
296	592	1402
297	593	1398
298	594	1393
299	595	1389
300	596	1385
301	597	1381
302	600	1382
303	603	1381
304	604	1378
305	605	1374
306	608	1374
307	609	1369
308	610	1365
309	611	1361
310	612	1357
